,Algorithm,Samples,Score,Iterations
825,GENETIC,50,3452.5759562238677,27983.0
826,GENETIC,50,3452.5759562238677,28184.0
827,GENETIC,50,3452.5759562238677,28385.0
828,GENETIC,50,3452.5759562238677,28586.0
829,GENETIC,50,3452.5759562238677,28787.0
830,GENETIC,50,3452.5759562238677,28988.0
831,GENETIC,50,3452.5759562238677,29189.0
832,GENETIC,50,3452.5759562238677,29390.0
833,GENETIC,50,3452.5759562238677,29591.0
834,GENETIC,50,3456.311197077303,29793.0
835,GENETIC,50,3456.311197077303,29994.0
836,GENETIC,50,3456.311197077303,30195.0
837,GENETIC,50,3456.311197077303,30396.0
838,GENETIC,50,3456.311197077303,30597.0
839,GENETIC,50,3456.311197077303,30798.0
840,GENETIC,50,3456.311197077303,30999.0
841,GENETIC,50,3456.311197077303,31200.0
842,GENETIC,50,3456.311197077303,31401.0
843,GENETIC,50,3456.311197077303,31602.0
844,GENETIC,50,3456.311197077303,31803.0
845,MIMIC,50,2946.2560589960385,402.0
846,MIMIC,50,2946.2560589960385,603.0
847,MIMIC,50,2949.4490311536047,805.0
848,MIMIC,50,2949.4490311536047,1006.0
849,MIMIC,50,2949.4490311536047,1207.0
850,MIMIC,50,2949.4490311536047,1408.0
851,MIMIC,50,2949.4490311536047,1609.0
852,MIMIC,50,2949.4490311536047,1810.0
853,MIMIC,50,2949.4490311536047,2011.0
854,MIMIC,50,2949.4490311536047,2212.0
855,MIMIC,50,2949.4490311536047,2413.0
856,MIMIC,50,2949.4490311536047,2614.0
857,MIMIC,50,2949.4490311536047,2815.0
858,SIMANNEAL,50,2633.1204775401948,2.0
859,SIMANNEAL,50,2723.2414673778185,4.0
860,SIMANNEAL,50,2723.2414673778185,5.0
861,SIMANNEAL,50,2741.713761110566,7.0
862,SIMANNEAL,50,2741.713761110566,8.0
863,SIMANNEAL,50,2741.713761110566,9.0
864,SIMANNEAL,50,2741.713761110566,10.0
865,SIMANNEAL,50,2741.713761110566,11.0
866,SIMANNEAL,50,2741.713761110566,12.0
867,SIMANNEAL,50,2741.713761110566,13.0
868,SIMANNEAL,50,2766.8590914289493,15.0
869,SIMANNEAL,50,2779.435698491432,17.0
870,SIMANNEAL,50,2779.435698491432,18.0
871,SIMANNEAL,50,2779.435698491432,19.0
872,SIMANNEAL,50,2779.435698491432,20.0
873,SIMANNEAL,50,2807.196823279349,22.0
874,SIMANNEAL,50,2807.196823279349,23.0
875,SIMANNEAL,50,2807.196823279349,24.0
876,SIMANNEAL,50,2872.5551055770607,26.0
877,SIMANNEAL,50,2872.5551055770607,27.0
878,SIMANNEAL,50,2880.436060222793,29.0
879,SIMANNEAL,50,2892.8187150901913,31.0
880,SIMANNEAL,50,2930.6221652657787,33.0
881,SIMANNEAL,50,2930.6221652657787,34.0
882,SIMANNEAL,50,2930.6221652657787,35.0
883,SIMANNEAL,50,2930.6221652657787,36.0
884,SIMANNEAL,50,2930.6221652657787,37.0
885,SIMANNEAL,50,2938.668102440954,39.0
886,SIMANNEAL,50,2938.668102440954,40.0
887,SIMANNEAL,50,2938.668102440954,41.0
888,SIMANNEAL,50,2938.668102440954,42.0
889,SIMANNEAL,50,2941.9581915086405,44.0
890,SIMANNEAL,50,2948.122513402867,46.0
891,SIMANNEAL,50,2948.122513402867,47.0
892,SIMANNEAL,50,2948.122513402867,48.0
893,SIMANNEAL,50,3085.443635930478,50.0
894,SIMANNEAL,50,3155.6289105497895,52.0
